%ID	PROTEINA	BandaLogInv1	BandaLogInv2	BandaLogInv3	BandaLogInv4	BandaLogInv5	BandaLogInv6	BandaLogInv7	BandaLogInv8	BandaLogInv9	BandaLogInv10	BandaLogInv11	BandaLogInv12	BandaLogInv13	BandaLogInv14	BandaLogInv15	BandaLogInv16	BandaLogInv17	BandaLogInv18	BandaLogInv19	BandaLogInv20	BandaLogInv21	BandaLogInv22	BandaLogInv23	BandaLogInv24	BandaLogInv25
63	68.61	2.449784351	2.570560226	2.678737418	2.776282584	2.853491712	2.917726182	2.966996587	3.012446443	3.038798226	3.035037119	3.013906237	2.990697864	2.958719604	2.92628043	2.888572521	2.848127681	2.804608074	2.757995003	2.713145057	2.673075439	2.63290782	2.596185877	2.559378018	2.524878579	2.490791236
64	68.34	2.378573628	2.496680956	2.605901967	2.69578541	2.776895809	2.837345125	2.892251414	2.933668744	2.960922437	2.960330281	2.939374023	2.915626104	2.886477442	2.855514699	2.816872777	2.775841642	2.732354649	2.685270468	2.638644236	2.595872924	2.55240436	2.512407083	2.472859744	2.435115835	2.398410683
65	67.43	2.445202401	2.560471746	2.664856036	2.756542548	2.839541909	2.903003852	2.954815158	3.000439673	3.028472598	3.029595424	3.006881885	2.982329854	2.950767924	2.917678857	2.876636591	2.832815519	2.788155479	2.738249252	2.691424048	2.647858547	2.607757234	2.568866264	2.531449218	2.496693241	2.461388891
66	68.13	2.320140617	2.430762005	2.530151408	2.615885004	2.689065037	2.754182431	2.803280794	2.845992304	2.87159211	2.869814435	2.849275374	2.826437983	2.793041758	2.760086824	2.720647534	2.677457881	2.633048778	2.585216143	2.538432898	2.495323695	2.453505493	2.412851645	2.374987709	2.340565666	2.306701365
67	68.8	2.521654354	2.645514415	2.750082344	2.846435505	2.927761688	2.991036641	3.040629167	3.083325081	3.109098212	3.108764751	3.084298475	3.060313007	3.03031204	2.996582595	2.957757114	2.914576617	2.871188373	2.823127954	2.776212932	2.732451255	2.690608084	2.650565982	2.610313624	2.574286793	2.538353983
68	68.29	2.454296285	2.578311356	2.684155756	2.781546591	2.860583754	2.922610485	2.971866417	3.015158613	3.045851101	3.045764665	3.026238139	3.000179676	2.972353045	2.937540508	2.900343931	2.862396051	2.816757391	2.770547924	2.725057299	2.681861268	2.638753593	2.59655523	2.552825592	2.514463191	2.478443732
69	68	2.475918908	2.59341926	2.701845129	2.795236022	2.875209548	2.938069741	2.988488877	3.033915191	3.059726846	3.060810365	3.036993128	3.013867453	2.984254984	2.951771112	2.912571335	2.870682003	2.82600503	2.776829149	2.729511577	2.684444073	2.640584308	2.600285542	2.559892233	2.521805145	2.485592924
70	68.19	2.485406518	2.604872291	2.713232242	2.809576701	2.892765242	2.957254009	3.008979752	3.053223447	3.078589308	3.08194394	3.06172942	3.039910441	3.009997371	2.978535497	2.942446092	2.901521812	2.858905613	2.813358539	2.768554841	2.728504467	2.687485108	2.648362454	2.610819194	2.576022788	2.541666549
71	68.49	2.315912845	2.42926736	2.522806937	2.605978804	2.675611	2.735447987	2.778861499	2.816280631	2.841086237	2.836596348	2.815940497	2.793136714	2.763967106	2.735231625	2.701674609	2.663276204	2.624303824	2.581365162	2.539935753	2.500612128	2.462076333	2.424958521	2.388090643	2.353724382	2.320260972
72	68.04	2.482091882	2.601785239	2.70814726	2.803801893	2.880780844	2.941622578	2.993237112	3.034504513	3.056641665	3.058714993	3.031952203	3.009022819	2.976122919	2.942665451	2.904048693	2.860639463	2.815266119	2.765239681	2.717029946	2.671867248	2.626120751	2.584322561	2.542007789	2.503328679	2.466080991
73	68.68	2.540137069	2.662917767	2.772781219	2.872611795	2.956275844	3.023641319	3.076767349	3.120618708	3.149123693	3.144878007	3.123161392	3.100728239	3.07047012	3.037893445	3.000405043	2.960394059	2.919784913	2.874531513	2.83066186	2.790315532	2.751599435	2.712401858	2.676393292	2.643442638	2.610212632
74	68.15	2.484217032	2.609732312	2.717190046	2.813390375	2.891413398	2.94697851	2.99714721	3.044376471	3.07211219	3.073318598	3.057391169	3.033518099	3.007044675	2.976172937	2.942834705	2.908326507	2.866931064	2.825828071	2.783168237	2.741354894	2.699632229	2.659363791	2.617972181	2.58162497	2.547061553
75	69.47	2.395555092	2.512045426	2.617111174	2.718450163	2.791710864	2.848273502	2.89319361	2.934836211	2.966892061	2.964881301	2.943322344	2.918269496	2.887633241	2.854859034	2.819504135	2.781324259	2.733692951	2.68538694	2.640873016	2.599196939	2.560321235	2.519088406	2.475926851	2.438141098	2.403364836
76	69.69	2.405893763	2.520364514	2.622992263	2.711662353	2.787547096	2.837073669	2.879396326	2.919957488	2.947330254	2.94368522	2.922825129	2.897036739	2.869929868	2.836200258	2.803548346	2.766453975	2.722040215	2.677976698	2.637144269	2.597351305	2.559323926	2.519907772	2.478176528	2.442853724	2.408215797
77	67.53	2.233914748	2.340333719	2.434372354	2.527605962	2.598590196	2.642809124	2.681849941	2.72237941	2.756055601	2.758430276	2.739944184	2.719300633	2.695760463	2.669283438	2.640344167	2.603648268	2.557549678	2.51332823	2.47106393	2.43363747	2.399662414	2.36284694	2.319734441	2.282920013	2.25012084
78	66.8	2.382176843	2.498532188	2.601824786	2.69460326	2.770475179	2.832971725	2.882932161	2.927106582	2.955372746	2.953604058	2.933131602	2.907050903	2.877175683	2.843222314	2.803142503	2.75862904	2.713891029	2.663935859	2.618414113	2.576154983	2.536381884	2.497578664	2.459364691	2.424389361	2.390285027
79	68.54	2.416359594	2.535995086	2.642130733	2.745831588	2.820488691	2.871172052	2.919177542	2.967505199	3.001064344	3.004103277	2.985622652	2.964075509	2.941818778	2.912505779	2.881326856	2.840575372	2.789962658	2.740176654	2.692166193	2.648111789	2.606757064	2.564477142	2.515824851	2.472486522	2.434185618
80	67.06	2.402629621	2.517902797	2.62684307	2.725753759	2.801516158	2.853242488	2.90056321	2.94461227	2.977334686	2.979070188	2.958727267	2.934413338	2.907852503	2.877346675	2.844223132	2.806845732	2.761423407	2.714388652	2.670695672	2.629243212	2.588531191	2.547934632	2.502602657	2.462831001	2.426774037
81	67.19	2.249903442	2.350936336	2.446783754	2.536993812	2.601816474	2.64885838	2.685749586	2.726606699	2.7567801	2.756661082	2.738313666	2.714427241	2.692465108	2.666538594	2.637866787	2.601486744	2.556356321	2.511925409	2.47108468	2.436022998	2.403233744	2.368764274	2.326907016	2.291044942	2.259201541
82	69.13	2.357503049	2.471086421	2.570203077	2.656361936	2.735075504	2.794440544	2.84176599	2.883131776	2.90422768	2.904076479	2.883289045	2.858547239	2.828020649	2.798119427	2.761865808	2.721297055	2.680305519	2.633965763	2.589249252	2.547405757	2.506818881	2.467359826	2.428156951	2.391904828	2.357318874
83	66.33	2.130944594	2.228519132	2.319277797	2.403105109	2.467843083	2.512472771	2.551055487	2.59116123	2.622152973	2.622457784	2.603655494	2.579902104	2.554801104	2.524986579	2.493810864	2.454503775	2.408607155	2.362521394	2.320020094	2.281582842	2.2452337	2.207655657	2.164165867	2.127554069	2.095566419
84	70.06	2.356806718	2.467353686	2.566079648	2.663507514	2.739057467	2.789418056	2.836007117	2.87755316	2.905281755	2.900813304	2.878039839	2.85224225	2.823143644	2.788446836	2.751551848	2.71107268	2.663201935	2.615504638	2.571518165	2.529752367	2.490856719	2.450153318	2.406458621	2.368450299	2.334107776
85	68.81	2.375557759	2.488205263	2.590509155	2.683268295	2.756883477	2.807266186	2.854669058	2.897643275	2.924706079	2.922894691	2.902765816	2.875681759	2.845804346	2.811174832	2.776341898	2.738682162	2.690705691	2.645008806	2.600020894	2.558300631	2.516148918	2.475269537	2.431961481	2.392947701	2.356932912
86	67.74	2.380642083	2.497870724	2.602283242	2.697638568	2.776498722	2.829251536	2.875960093	2.919420512	2.950238045	2.949556361	2.928851326	2.904506273	2.876518546	2.842295707	2.807595905	2.7684964	2.720835998	2.673920411	2.630938182	2.590144785	2.551696021	2.511437525	2.468625139	2.43172774	2.397738061
87	68.39	2.060364084	2.140237204	2.218868972	2.295244213	2.349546722	2.383810804	2.414298064	2.44536642	2.467399649	2.461441735	2.439262928	2.416621049	2.392970025	2.367512021	2.341319312	2.313854492	2.279327976	2.245278786	2.212622259	2.183047774	2.154514589	2.123892084	2.090369948	2.062001057	2.03596563
88	66.67	2.337422479	2.451813554	2.556267474	2.646344958	2.724140834	2.785946865	2.837041307	2.875955085	2.903993378	2.90287374	2.883053772	2.859996674	2.830978918	2.797842558	2.761627076	2.719725959	2.67647655	2.629628179	2.58351333	2.541733404	2.499807568	2.460049835	2.421042478	2.384388151	2.349320869
89	67.65	2.342222382	2.451091504	2.551756741	2.640036641	2.719568499	2.784351025	2.83603992	2.875819241	2.899852022	2.901285249	2.880481502	2.855946724	2.823660372	2.789030838	2.750632505	2.706009233	2.662073237	2.613335425	2.565764543	2.523486966	2.481307784	2.441214928	2.403099439	2.368547649	2.334920111
90	67.87	2.48909575	2.612811178	2.723124889	2.827578678	2.907990438	2.96758138	3.016706816	3.064909303	3.097189976	3.098853191	3.079464465	3.0544571	3.026441703	2.992159743	2.957391813	2.918627183	2.870260012	2.823177433	2.77734495	2.735747894	2.695692666	2.65532994	2.612077249	2.574954994	2.539890137
91	67.73	2.393042918	2.514172557	2.617577375	2.709110544	2.793002415	2.855513939	2.905142595	2.951530881	2.979523682	2.980020743	2.957967339	2.93269896	2.90437709	2.871680181	2.831630881	2.788613811	2.742744322	2.694907877	2.646447955	2.602841665	2.56051157	2.520769197	2.480768495	2.443347108	2.407077464
92	68.62	2.466912039	2.588763783	2.693750454	2.791061015	2.86803617	2.924865506	2.977544735	3.0221973	3.050576942	3.052000524	3.03454642	3.011003391	2.984283164	2.951760041	2.918710183	2.882746825	2.841274604	2.79851129	2.756318539	2.713140772	2.670431737	2.629982297	2.589373224	2.553024055	2.518387015
93	67.85	2.486875081	2.606496759	2.714188829	2.817638498	2.894732776	2.956506553	3.007654778	3.055389701	3.084068283	3.090511707	3.071364911	3.048271732	3.022596089	2.991712956	2.958598395	2.924337105	2.881405895	2.838876613	2.794499157	2.752280694	2.709086308	2.668451688	2.626558686	2.58950145	2.55510177
94	68.56	2.024523273	2.117641881	2.198770764	2.281290309	2.339421979	2.377600909	2.409344125	2.446341389	2.477333111	2.476865029	2.458750935	2.437639149	2.416485624	2.392832217	2.368679751	2.335007721	2.295601969	2.256028135	2.218220899	2.184926887	2.153514486	2.120120227	2.081091525	2.046419088	2.016636197
95	67.96	2.222843522	2.336036809	2.436747954	2.534952566	2.606027779	2.656677329	2.697604457	2.741936176	2.776200802	2.77873192	2.759360774	2.73690073	2.712343913	2.681439259	2.649253195	2.606413418	2.555911474	2.50698157	2.459704925	2.418015306	2.379298937	2.339383145	2.292990379	2.25349415	2.217516411
96	67.17	2.331947574	2.45206935	2.550221489	2.642245832	2.714731445	2.773971683	2.821750524	2.864503116	2.891557718	2.892672891	2.869586936	2.848973162	2.818902767	2.787249772	2.74901424	2.70700912	2.662937946	2.61595149	2.570466809	2.528238571	2.486484933	2.447866205	2.409400858	2.37276295	2.336715387
97	68.38	2.198069241	2.298349722	2.385670673	2.472588043	2.533949587	2.575746616	2.610478666	2.650963274	2.681413564	2.682501098	2.662394823	2.639623032	2.616797319	2.588635361	2.559488627	2.522054162	2.47805288	2.433942086	2.394000244	2.358446083	2.326414737	2.292825407	2.251182934	2.216332278	2.186214305
98	67.09	2.485756016	2.601435766	2.712490026	2.806996913	2.892192805	2.957272065	3.010618196	3.055882885	3.083117673	3.084513905	3.064930306	3.038956208	3.010992895	2.97651884	2.93990968	2.89769961	2.854605119	2.805675961	2.759250047	2.715489325	2.672517806	2.632906825	2.594369393	2.557351828	2.522106424
99	67.46	2.37963843	2.491666811	2.591630826	2.680077742	2.753948149	2.815556752	2.865151286	2.907250297	2.932375273	2.931337741	2.909146192	2.887909603	2.858290271	2.829077905	2.792272189	2.752053961	2.711529855	2.665556484	2.620780559	2.580090168	2.541013961	2.503881078	2.46708022	2.432086076	2.397977153
100	68.51	2.498017222	2.620032186	2.729182044	2.8299179	2.90879301	2.965473497	3.015935782	3.062454614	3.093208071	3.092920787	3.078611983	3.055136703	3.029464243	2.997849624	2.964353101	2.930973318	2.887770663	2.845429119	2.802822018	2.761427527	2.719495026	2.680173196	2.638595501	2.602289921	2.568954265
101	68.16	2.444590629	2.565913961	2.667731225	2.763650043	2.841870766	2.905365979	2.957630396	2.999975599	3.026411202	3.027912971	3.006564544	2.984514412	2.956288685	2.925567992	2.89083837	2.849921545	2.806052446	2.757807615	2.710464583	2.663968441	2.618839576	2.574492589	2.53235614	2.491339872	2.452845099
